Vídeo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
nIhrJp_FtfA,Física 1 - MRUV - Manipulando gráficos vxt para achar o deslocamento,"Apr 13, 2020",7,"0,3345",0,29,0
wc1ZZQgDLx4,Física 3- Entendendo o par de vetores Força elétrica,"Aug 17, 2020",7,"0,0727",0,34,"2,94"
zrZc9OP2UV4,Física 2 - Hidrostática - Lei de Stevin,"Apr 8, 2020",7,"0,0932",0,10,10
0OoxDSzoHII,Física 1 - Impulso vetorial (3 estrela),"May 18, 2020",6,"0,1671",0,13,"15,38"
0b5dPiwl7p4,Física 2 - Lei de Taylor - Básico velocidade e tensão em uma corda,"Apr 2, 2020",6,"0,1054",0,47,"8,51"
6Dyr0sS2W04,"Física 2 - Sombra , altura , propagação retilínea da luz","May 23, 2020",6,"0,2532",0,29,"3,45"
AllzFEf5kWA,Física 1 - Teorema impulso quant. movimento,"May 18, 2020",6,"0,3468",0,11,"9,09"
BzuO8yfqce8,Física 3 - Trajetória de cargas em placas paralelas,"Sep 1, 2020",6,"0,0622",0,54,"11,11"
EwG6h84Q6m8,Física 2 - Ondulatória - Refração de ondas em superfícies de fluídos,"Apr 2, 2020",6,"0,033",0,22,0
G_zcQKWTlDU,Física 2 - Hidrostática - Pressão e atrito,"Apr 8, 2020",6,"0,1422",0,20,0
HtqQKLs54ug,Física 2 - Gases ideais - Pressão Básica,"May 4, 2020",6,"0,0901",0,24,0
HuQecY7qo90,fisica 1 - Impulso Quantidade de movimento,"May 18, 2020",6,"0,0739",0,14,"7,14"
LVrUFgnHUC8,Pedido  !,"Aug 29, 2020",6,"0,0228",0,42,"7,14"
Mgl4qpwYMEQ,Física 1- Força de atrito cinético e estático,"Jun 9, 2020",6,"0,1396",0,26,"3,85"
N7N5tQvLcnI,Física 3- Capacitores de Placas Paralelas,"Sep 19, 2020",6,"0,0497",0,91,"1,1"
PHK7k2peRew,Física 1 - Teorema Trabalho Energia,"Apr 20, 2020",6,"0,2478",0,23,"17,39"
TqmUd-74vW0,Física 1 - Forças  - Composição da força resultante,"Mar 30, 2020",6,"0,0149",0,33,"3,03"
UhJAFDSC02k,"Física 2 - Espelhos planos , altura mínima para uma pessoa se enxergar dos pés a cabeça","Jun 23, 2020",6,"0,171",0,44,"4,55"
WqK-4OGUun8,Física 2 - Espelho côncavo com ampliação,"Jun 28, 2020",6,"0,1769",0,22,"4,55"
YWBg-_9xeoE,Física 2 - Equivalente em água com calorímetro,"Apr 30, 2020",6,"0,2601",0,29,"6,9"
ZWvCLGb57JQ,Física 2 - Hidrodinâmica - Diferença de pressão,"Apr 17, 2020",6,"0,1392",1,32,0
iRq68EncQGU,Física 1 - Trabalho de várias forças,"Jun 9, 2020",6,"0,4923",0,39,"2,56"
o3BxTVyw27I,Física 2 - Hidrostática -Densidade relativa,"May 6, 2020",6,"0,1814",0,36,0
oi2zizVc_AU,Física 2 - Ondulatória - Comprimento e amplitude,"Mar 29, 2020",6,"0,1568",0,23,"8,7"
t-MRulloDFo,Física 1 - Forças - Movimento Oblíquo,"Mar 31, 2020",6,"0,0435",0,12,"8,33"
wAa9LsLyBcc,Física 3 - Distribuição de cargas no interior de um corpo condutor,"Aug 13, 2020",6,"0,0906",0,28,"7,14"
-B0JA7CpHH0,Física 1 -  Vetores - Resultante,"Mar 26, 2020",5,"0,1054",0,18,"5,56"
1pwNf50BIG4,Física 1 - Vetores - Decomposição,"Mar 26, 2020",5,"0,2269",0,16,"6,25"
2Ychpr7bW8k,Física 1- Força para não arrebentar o fio que une dois blocos,"Sep 29, 2020",5,"0,0377",0,116,"2,59"
4AtawGn0urI,Física 2 - Hidrostática - Elevadores Hidráulicos - Básico,"Apr 8, 2020",5,"0,1077",0,18,0
59UyRtcB44k,Física 2 - Hidrostática - Vasos comunicantes - Básico,"Apr 8, 2020",5,"0,1518",0,23,0
8HV5pFU5cuY,Física 1 - Vetores - Resultante,"Mar 26, 2020",5,"0,1496",0,26,0
FjivBhevfD0,Física 1 - Vetores - Velocidade Escalar e Vetorial média,"Mar 27, 2020",5,"0,106",0,17,"5,88"
KeeL4Jk4n_U,física 1 - Força resultante,"Jul 7, 2020",5,"0,0275",0,68,"1,47"
M9JcZYYjOTE,Física 1-  Conservação de energia - Básica,"Apr 9, 2020",5,"0,0558",0,9,0
NMYV93jZ6rs,Física 1 - Movimento com ação da gravidade - Equação de Torricelli,"Apr 6, 2020",5,"0,0327",0,32,"9,38"
PlU5Whx6Q5o,Física 2 - Equilibrio térmico de misturas,"Apr 23, 2020",5,"0,1237",0,20,5
TlSxx8W-cE4,Física 2 - Equação de bernoulli - Forma completa,"Apr 17, 2020",5,"0,0538",0,21,0
Zqgj3tkodtk,Física 1 - Vetores - Velocidade escalar e vetorial média,"Mar 27, 2020",5,"0,1645",0,12,25
g50_tZkd9tE,"Física 1 - Conservação de energia , tempo de queda","Apr 10, 2020",5,"0,1441",0,12,0
g6NRl1LkUFk,Física 1 - Forças - Corpos ligados com acelerações distintas,"Apr 6, 2020",5,"0,0061",0,25,4
gVHPUNiKvrA,Física 1- Movimento com ação da gravidade - Queda livre,"Apr 6, 2020",5,"0,0632",0,34,"5,88"
gwGlJt4RkzE,Física 2 - Calorimetria fusão de gelo,"Apr 30, 2020",5,"0,0763",0,33,"3,03"
i3VFwkvs3z0,Enem 2017  9,"Jun 3, 2020",5,"0,1309",0,23,"4,35"
iMj0BAc4-ms,Física 2 - Ondulatória - Interferência entre ondas unidimensionais,"Apr 3, 2020",5,"0,0973",0,19,"5,26"
qPZvWdu4qTA,Física 3 - Carga após o contado e atrito,"Aug 13, 2020",5,"0,1076",0,28,"3,57"
tJobw3eR0_w,Física 1 - Gráficos vxt a partir do gráfico sxt,"Jun 1, 2020",5,"0,085",0,30,0
vQInsMqt7Is,28 Cálculo da Força elétrica entre duas cargas,"Aug 17, 2020",5,"0,122",0,36,"8,33"
vlRuHAho4OQ,Física 1 - Velocidade Média em trechos com velocidades diferentes,"May 5, 2020",5,"0,1457",0,32,"9,38"
wP1F0YSLu3U,Física 3 - Cálculo do trabalho e campo elétrico relacionados ao potencial elétrico,"Sep 15, 2020",5,"0,0221",1,97,"3,09"
wdmVp9hV9UY,Física 1 - Movimento uniforme - Gráficos de encontro de móveis,"Apr 13, 2020",5,"0,1565",0,44,"2,27"
xTKfjCO1jDE,Física 3 - Potencial elétrico e Força elétrica,"Sep 15, 2020",5,"0,2591",0,63,"1,59"
2201JHIXbBE,"Física 3 - Distribuição de cargas em um material condutor ""poder das pontas""","Sep 1, 2020",4,"0,0426",0,40,"7,5"
3uLe9azXXco,Física 3 - Eletrização por um jato de ar e tensão em uma corda,"Aug 17, 2020",4,"0,1321",0,32,0
4LfulnnP3es,Física 2 - Transformação adiabática,"May 30, 2020",4,"0,0988",0,14,0
8_aOtyJ8fiE,"Física 1- Trabalho , energia gravitacional e elástica","Apr 20, 2020",4,"0,1482",0,12,"8,33"
8rsqfWAdWV0,Física 1 - Força de contato entre mesa e um corpo,"Jul 7, 2020",4,"0,0344",0,32,"6,25"
A5mhpi2vvPg,Física 1 - Conservação da quantidade de movimento duas estrelas,"May 20, 2020",4,"0,2335",0,25,0
AQ3YYvqzHdM,Física 3 - Entendendo a Força elétrica Resultante,"Aug 17, 2020",4,"0,1718",0,35,"2,86"
CX9a1QovvR8,Física 1 - Força de Atrito - Deslizamento de corpos,"Sep 8, 2020",4,"0,1107",0,31,"3,23"
F9lt_H-OEEs,Física 2 - Gráficos de Equilíbrio térmico,"Apr 23, 2020",4,"0,0699",0,13,0
FPKgEGWdC04,Física 2 - Dilatometria - Básico,"Apr 16, 2020",4,"0,0486",0,13,0
FopmRusnoGY,Física 2- Conceitual - Efeito estufa - Ilhas de Calor,"Apr 21, 2020",4,"0,0324",0,57,"1,75"
H1o0_PUjjMc,Física 1 - Movimento com ação da gravidade - Problemas combinando movimento uniforme e acelerado,"Apr 6, 2020",4,"0,0847",0,34,"11,76"
HmnoTIAZH00,Física 3 - Eletrização por atrito,"Aug 13, 2020",4,"0,0145",0,41,"4,88"
JRnbbG_hhM0,Física 3 - Eletrização,"Aug 13, 2020",4,"0,0188",0,40,5
KiYDc7c5BWA,Física 2 - Termodinâmica - 1 ª lei - piviti povoto,"May 14, 2020",4,"0,0592",0,98,0
MUkQYK6j410,Física 2 - Ondulatória - Refração de ondas mecânicas,"Apr 2, 2020",4,"0,0464",0,6,"16,67"
MxQ39DtAd6c,Física 2 - Termodinâmica - Diagrama p x V com multiplicadores de escalas,"May 14, 2020",4,"0,037",0,17,"5,88"
Prs7noD-EQE,Física 1 - Força de atrito com força normal no eixo x,"May 7, 2020",4,"0,0188",0,28,0
RkZyU3FQ9rw,Física 2 - Hidrodinâmica,"Apr 17, 2020",4,"0,1646",0,18,0
SSk4-Cv_i38,Fíisca 2 - Óptica - Ida e volta de um sinal luminoso,"May 23, 2020",4,"0,0825",0,23,"8,7"
SV_gT8h0FjA,Física 1 - Forças - Força de atrito,"Mar 31, 2020",4,"0,0669",0,8,"12,5"
Sec0B0EAHUk,Física 1-  Determinação das funções horárias por comparação,"Sep 29, 2020",4,"0,0874",0,57,"3,51"
VcNCLpIknMI,Física 3 - Densidade superficial de cargas,"Sep 1, 2020",4,"0,0673",0,44,0
ZLCz9OnDc9k,Física 1 - Velocidade Média em trechos de iguais distâncias,"Aug 19, 2020",4,"0,2052",0,34,"5,88"
cjfcu2352F8,Física 1 Conservação da quantidade de movimento e deslocamento 2 estrelas,"May 20, 2020",4,"0,1249",0,31,"6,45"
dUBHOsDIIk0,Física 1 - Plano inclinado com atrito,"May 7, 2020",4,"0,0946",0,19,0
dtxNfpXzIME,Física 2 - Transformações Termodinâmicas,"May 4, 2020",4,"0,1429",0,19,0
grKCq6Jb05k,Física 1 - Conservação de energia - MCU - Força centrípeta,"Apr 12, 2020",4,"0,1101",0,13,0
gzGSQK2_uZA,Física 2 -Calor específico - básica,"Apr 21, 2020",4,"0,0624",0,20,20
lH-k7BNO3Mc,Física 3- Relação entre forças e cargas de um mesmo par de forças,"Aug 17, 2020",4,"0,09",0,28,"3,57"
mseXva8oN7w,Física 1 - Conservação de Energia - Gráficos,"Jun 9, 2020",4,"0,113",0,14,0
oHGw2TSDO6k,Física 1- Velocidade escalar média,"Sep 29, 2020",4,"0,0914",0,51,"1,96"
oWcCQ3gxvgA,Física 3 - Cálculo da carga após contato,"Aug 13, 2020",4,"0,0508",0,23,"4,35"
p6W5FyWZLzU,Física 3 - cálculo da carga final  por diferença entre o número de cargas,"Aug 13, 2020",4,"0,0538",0,41,"4,88"
rviu0q_UhtY,Física 1 - Energia potencial elástica e gravitacional,"Apr 10, 2020",4,"0,0925",1,51,"1,96"
siOMdkmg5nk,Física 2 - Ondulatória - Interferência entre diferentes fontes sonoras,"Apr 4, 2020",4,"0,0891",0,16,"18,75"
ui8Qe6Gd6z8,Física 2- Calor latente - Básica,"Apr 30, 2020",4,"0,0555",0,19,0
w2wu-0mL2mM,"Física 2 - Óptica - reflexão , refração e difusão da luz, conceitual","May 24, 2020",4,"0,0984",0,23,"4,35"
xm_ZfR6GiK8,Física 3 - Capacitores de placas paralelas,"Sep 19, 2020",4,"0,006",0,91,"1,1"
yIfJk4kb1oU,Física 1 - Conservação de quantidade de movimento 1e,"Jun 15, 2020",4,"0,0546",0,13,"7,69"
zFcI6rE1RsI,Física 1 - Basica Quantidade de movimento,"May 18, 2020",4,"0,0293",0,12,"8,33"
0i_2XiA-4_I,Física 1 - Velocidade média em trechos de distâncias iguais,"Sep 29, 2020",3,"0,1407",0,56,0
2vTXRprqy34,Física 1 - Atribuindo o sinal correto devido a aceleração de dois corpos ligados,"Jul 7, 2020",3,"0,0026",0,41,"2,44"
4i9YfrG1XMU,Física 2 Ondulatória,"Mar 29, 2020",3,"0,0446",0,29,"3,45"
5Oc3Kqa6H4k,Física 2 - Termodinâmica - Diagrama p x V com multiplicadores de escalas,"May 14, 2020",3,"0,0282",0,17,0
6TFKp-Po4N8,Física 1 - Conservação de energia - potência,"Apr 12, 2020",3,"0,0532",0,6,0
7WvKrSP6Yu8,Física 1 - Forças - Polia - Plano inclinado - Decomposição de forças,"Apr 5, 2020",3,"0,0019",0,27,"7,41"
9SeS2hNEg7U,Física 1- Conservação de energia,"Apr 10, 2020",3,"0,0391",0,13,"15,38"
Fz_dgn8KJys,"Física 1 - Forças , aceleração gráfico vxt","Mar 31, 2020",3,"0,0031",0,11,"9,09"
Ir4S91slPtA,Física 2 - MHS,"Mar 24, 2020",3,"0,1823",0,3,0
KwMdmHTLHPg,Física 1 - Velocidade Média,"Sep 29, 2020",3,"0,1581",0,59,0
MkHu58NJJyQ,Física 1- Velocidade média,"Sep 29, 2020",3,"0,0442",0,40,0
OreXjUCS-QA,Física1 - Forças - Básico da 2ª lei de Newton,"Mar 31, 2020",3,"0,0129",0,10,20
PPNYz4C_qS0,Física 1 - Calculando a tração do fio,"Jul 7, 2020",3,"0,0048",0,20,5
QgWBxCBVGfU,Física 1 - Força aplicada menor que a força de atrito máxima,"May 7, 2020",3,"0,006",0,22,"4,55"
TrDuyYXLIhI,Física 2 - Termometria - Variação entre escalas celsius e fahrenheit,"Apr 15, 2020",3,"0,1396",0,9,0
YcwFvi7fYI0,Física 2 - Reflexão básica,"May 24, 2020",3,"0,0558",0,32,"9,38"
_EWoHmNyq7U,Física 3- Lei de Gauss e fluxo elétrico,"Sep 15, 2020",3,"0,0139",0,69,"2,9"
_GC_E2KPaWg,Física 2 - TErmodinâmica  1ª Lei - Básico,"May 11, 2020",3,"0,0413",0,20,5
gz78o6WYAIU,Física 3 - Campo elétrico e o poder das pontas,"Sep 1, 2020",3,"0,0267",0,32,"3,13"
i7ntQe4FzHo,Física 3-  Circuitos e Capacitores,"Sep 19, 2020",3,"0,0026",0,105,0
ldo59QMRk-g,Física 3 - Circuitos e Capacitores,"Sep 19, 2020",3,"0,0021",0,86,0
pZoctpv6rlU,física 3 - Lei de Gauss fluxo elétrico,"Sep 15, 2020",3,"0,0217",0,44,"4,55"
pnZo2wLMirI,"Física 1 Quantidade de movimento , teorema impulso","May 18, 2020",3,"0,0501",0,10,10
tnNs3ueeuBA,Física 1 - Colisão bidimensional,"Jun 15, 2020",3,"0,0661",0,23,0
wQQ_TdSRXao,Física 3 - Relação entre duas forças e distâncias para um mesmo par de cargas,"Aug 17, 2020",3,"0,1437",0,29,"3,45"
-AEAcxERhvU,Física 2 - Campo de visão de um espelho plano,"Jun 22, 2020",2,"0,0125",0,29,0
-mDH3I-zipY,Física 1 - Quantidade de movimento em explosões,"May 20, 2020",2,"0,0584",0,16,"6,25"
2YbwtbT5Dgg,Física 2 - Vasos comunicantes,"Apr 8, 2020",2,"0,0668",0,43,"2,33"
6H2jGN_sDGY,Física 2 - Ondulatória - Reflexão de pulsos em cordas - Velocidade de onda,"Apr 2, 2020",2,"0,0033",0,31,"3,23"
7bbWR71iaHo,Física 2 - MHS - Pêndulos,"Mar 25, 2020",2,"0,0292",0,12,0
E17bWEUPk2E,Física 2 - Ondulatória,"Mar 29, 2020",2,"0,0161",0,18,"5,56"
EKsB2d1wfMo,Física 1 - Potência instantânea,"Apr 21, 2020",2,"0,0166",0,10,10
Fmzfp-fWmh0,Física 2 - Ondulatória - Conceitos básicos,"Mar 29, 2020",2,"0,0672",0,16,"12,5"
HPvljNckY7c,Física 3 - cálculo de carga final após contato,"Aug 13, 2020",2,"0,0183",0,31,"3,23"
K7_-sw8kv2A,Enem 2016 Associação de resistores,"Jun 3, 2020",2,"0,0633",0,27,"3,7"
KEd1sZSxu4A,Física 2 - Conversão entre Escala Celsius e uma escala Arbitrária,"Apr 15, 2020",2,"0,0041",0,10,10
M5Ye-AjXTsY,Física 3 - Gaiola de Faraday,"Sep 1, 2020",2,"0,0263",0,61,"1,64"
NyE9sSw8SKw,Física 3 - Potencial elétrico provocado por duas cargas pontuais,"Sep 15, 2020",2,"0,0736",0,35,"2,86"
PftEABByh8M,Física 1 - Energia perdida devido ao atrito com o ar,"Apr 20, 2020",2,"0,0122",0,18,"5,56"
QgT5XQEIAfs,Física 2 - Reflexão em espelhos que fazem um ângulo entre si,"May 24, 2020",2,"0,1965",0,32,"6,25"
TaaZAxa8w6o,Física 1- Estática - Equilíbrio,"May 18, 2020",2,"0,0661",0,16,0
TppdO5OO3-M,Física 2 - Primeira lei da termodinamica básico,"May 14, 2020",2,"0,0117",0,14,0
YGrrbP86xTU,Física 2 - Ondulatória - Interferência construtiva e destrutiva de  fontes sonoras distintas,"Apr 4, 2020",2,"0,0203",0,19,0
Z-xUjJQpfMU,Física 1 - Conservação da quantidade de movimento básica,"May 20, 2020",2,"0,1064",0,13,0
dle0zxQ5YV4,Física 2 - Termômetros defeituosos,"Apr 15, 2020",2,"0,0576",0,16,0
iU8w2pWuSxk,Física 1 - Conservação de energia,"Apr 10, 2020",2,"0,0068",0,5,0
jeglPT5fX0s,Física 1 - Colisão entre projétil e bloco,"Jun 15, 2020",2,"0,0254",0,24,0
kWNjvK0n6yA,fisica 1 - Conservação da quantidade de movimento Básica,"May 20, 2020",2,"0,0966",0,30,"3,33"
lCfLimotJfg,Física 1 - Colisões e coeficiente de restituição,"Jun 15, 2020",2,"0,0207",0,20,0
lt7RxofaoHI,Física 2 - Dilatometria - Equilíbrio na dilatação,"Jun 6, 2020",2,"0,0145",0,19,0
oePyL3_g1dA,"Física 2 - Cores  , reflexão e absorção","May 24, 2020",2,"0,0397",0,26,0
pgjWfg-xV_g,"Física 3 - Corrente elétrica , potência e Energia Elétrica","Aug 22, 2020",2,"0,1191",0,32,"3,13"
pwTvPLkaDV8,Fisica 2 - Barra feita de dois materiais distintos,"Apr 16, 2020",2,"0,0474",0,8,0
rSNBhoLdrEM,física 1- Força de Atrito com m corpo pressionado na parede,"Sep 8, 2020",2,"0,0062",0,44,"4,55"
tCyoGxNUadg,Física 2 - Diagramas térmicos 1ª lei,"May 30, 2020",2,"0,0006",0,11,0
uzxISh0VrjI,Física 2 - Ondulatória,"Mar 29, 2020",2,"0,0347",0,7,0
yJdzqgA2YM0,Física 2 - Transformações de gases ideais - conceitual,"May 4, 2020",2,"0,0305",0,12,"8,33"
0h9MzsZZ6qE,Física 1 - Estática  de sólidos,"Mar 29, 2020",1,"0,0008",0,8,"12,5"
11ICeAgEcDA,Física 2 - Transformações termodinâmicas piviti povoto,"May 4, 2020",1,"0,0463",0,199,0
1aeU42sWv4U,Física 1 - Atrito em referencial acelerado,"Aug 20, 2020",1,"0,0094",0,38,"2,63"
4cI0mOcSypk,Física 1 - Força de atrito em blocos unidos por uma corda,"May 7, 2020",1,"0,0034",0,43,0
4jsMgCh5SSE,Física 1 - Energia - Gráfico Energia x t^2,"Apr 9, 2020",1,"0,0042",0,10,10
5llUS9YQyr0,Física 1 - Trabalho calculado através da área de um gráfico,"Apr 20, 2020",1,"0,0007",0,11,"9,09"
6ltV_ToR9Ys,"Física 2 - Ondulatória - Equação de onda y(x,t)","Apr 2, 2020",1,"0,0096",0,18,0
9kyAOMkMoZg,física 3 - Lei de Gauss no interior de uma carga isolante,"Sep 15, 2020",1,"0,0012",0,38,0
9ua1z2d2gwg,Física 1 - Potência - Básica,"Apr 20, 2020",1,"0,0133",0,20,5
EJNzY67MbjA,Física 1 - Energia potencial elástica - relação peso - energia,"Apr 9, 2020",1,"0,0006",0,13,0
Fbru7o9mK9M,Física 2 - MHS e MCU,"Mar 25, 2020",1,"0,0407",0,4,0
K3c4FGDFN_M,Física 2 - MHS - Pêndulos,"Mar 25, 2020",1,"0,0269",0,8,0
MNafMCa3Rgo,Física 2 - Acústica  - Propagação de ondas em cordas,"Apr 7, 2020",1,"0,0415",0,21,0
MV1RZQ2Lbok,Física 2 - Dilatometria - Comprimentos iguais de barras de coef. de dilatação diferentes.,"Apr 16, 2020",1,"0,0002",0,7,0
NIanHIwA6o8,Física 2 - Objetos no espelho,"Jun 19, 2020",1,"0,0016",0,20,0
P3WSGsd2L5I,Física 2 - MHS -,"Mar 24, 2020",1,"0,0042",0,5,0
SWT5FRI2wNc,"Física 1 Trabalho,  energia  e potência","Jun 9, 2020",1,"0,0003",0,13,"7,69"
Tmz6NDrREzw,enem 2016 7,"May 28, 2020",1,"0,0057",0,18,"5,56"
UCWIhv_IdbE,Enem 2018 4,"Jun 3, 2020",1,"0,0818",0,14,"7,14"
V7ctld16RkA,Física 1 - Colisão utilizando o coeficiente de restituição,"Jun 15, 2020",1,"0,0645",0,17,0
V_wq9Mn-MLI,"Física 1  - Potência -  Motor, trabalho , energia , energia potencial gravitacional Básico","Apr 20, 2020",1,"0,0019",0,15,"6,67"
XX6Za4Uime0,"Física 2 - Acústica - Básica - Relação velocidade , comprimento de onda e frequência","Apr 7, 2020",1,"0,0037",0,8,0
YQtGBFrC38c,Física 1 - Conservação de energia - Gráfico EcX Ep,"Apr 10, 2020",1,"0,0015",0,11,0
YwBVFnjaLTg,"Física 2 -Eclipse total , parcial e ausente","May 24, 2020",1,"0,0028",0,13,0
ZsQRw8zXkHY,Física 2 - Hidrostática  Stevin e densidade,"May 18, 2020",1,"0,0039",0,21,"4,76"
bVP5yUjFwSg,Física 2 - Calor - Básico,"Apr 21, 2020",1,"0,0013",0,9,0
bb9JZ-ofVhw,Física 2- Calorimetria - equilibrio térmico,"Apr 23, 2020",1,"0,0302",0,19,0
ckIph5OBTG8,Física 1 - Impulso vetorial,"May 18, 2020",1,"0,0011",0,14,"7,14"
cklMP86jECY,Física 2 - Termodinâmica - Conceitual Básica,"May 11, 2020",1,"0,0004",0,16,0
e8R7z1DxSTg,Física 2 - Ciclo de Carnot,"Jun 2, 2020",1,"0,0151",0,11,0
fBqqnJ126mM,Física 2 - Acústica - Básicas - Eco,"Apr 7, 2020",1,"0,0068",0,10,0
i0xi7k9ED1c,Física 1 - Conceitos de velocidade e aceleração,"Sep 29, 2020",1,"0,0011",0,50,0
iIcWygMIy3k,Física 2 - Óptica - Câmara Escura,"May 24, 2020",1,"0,0014",,23,0
iTnQtYBpNPU,4 - Força e Leis de Newton,"Jun 9, 2020",1,"0,0007",0,20,5
isW7pFAlno0,Enem 2016 ondulatória,"May 27, 2020",1,"0,0022",0,11,"9,09"
pdlqlGC1Ko8,Física 3 - Calculando o rotacional de um campo vetorial,"Aug 11, 2020",1,"0,0518",0,21,0
vD27TDaWuZY,"Enem 2017 Ondulatória - Bronzeamento , queimaduras devido à luz solar","May 27, 2020",1,"0,0363",0,25,0
wA5ClVAkZN8,Força de atrito - Deslizamento de Caixas em um caminhão,"Sep 8, 2020",1,"0,0034",0,38,0
xWQPVubHb4w,Física 1 - Força de atrito e força de contato,"May 7, 2020",1,"0,0303",,31,0
-YRLczXz_is,"Física 2 - Filtros, cores .","May 24, 2020",,,,11,0
0kDVoV6VNoY,Física 2 - Acústica - Eco,"Apr 7, 2020",,,,9,0
1XGug02hLbo,Física 2 - Conceitual de processos de troca de calor,"Apr 21, 2020",,,,15,0
1sud-6G7b-4,Física 2 - MHS - Período Pêndulos,"Mar 25, 2020",,,,8,0
2PzRVcU5Dlk,Física 2 - Ondulatória - ECO,"Mar 29, 2020",,,,8,0
2yEm-04kLAM,Física 1 - Colisão com coef. de restituição diferente de 1,"Jun 15, 2020",,,,18,0
4plEANaglYw,enem 2018 2 Ondulatória,"May 27, 2020",,,,9,0
62edFwCFekQ,Física 1 - Conservação de energia,"Apr 10, 2020",,,,9,0
6xMi9FNrPzM,enem 2016 6,"May 28, 2020",,,,10,0
9-j1BL8k0u0,Física 2 - Equilíbrio Térmico com mudança de fase,"Sep 1, 2020",,,,24,0
9JgVRJfSAvk,Física 2 - Conversão Fahrenheit celsius - Igualdade entre escalas,"Apr 15, 2020",,,,8,0
9yZY2BYWnVM,Física 1 - Movimento com ação da gravidade -  Movimento parcialmente conhecido,"Apr 6, 2020",,,,13,0
9zVUgrSE054,Física 1 - Grafico ( F x t ),"May 18, 2020",,,,10,0
DBQrJ1QGiEk,Física 2 - Calorimetria - Potência,"Apr 21, 2020",,,,21,0
Fqd1g0inFCE,Física 2 - Termometria - Fahrenheit para Celsius relacionados por função,"Apr 15, 2020",,,,7,0
ISXfQdKcWss,Força de Atrito - Contato entre corpos  um corpo sofrendo ação de uma força externa diretamente,"Sep 8, 2020",,,,40,0
J4e-7r8QUP4,Física 1 - Forças - Problemas com dois corpos,"Mar 31, 2020",,,,13,0
M-vt3rp_loM,Enem 2017 período e frequencia,"May 27, 2020",,,,9,0
MwB6K2I9uB8,Física 2 - Conversão Celsius Kelvin,"Apr 15, 2020",,,,7,0
Tka7v1TuUOw,Física 2- Transformações termodinâmicas,"May 4, 2020",,,,15,0
U2OpR8nYXqw,Enem 2018,"May 27, 2020",,,,24,0
ZrtRjl59pCU,"Física 2 - Ondulatória - Conceitos básicos de interferência,  difração , polarização e refração.","Apr 4, 2020",,,,15,0
aHX4bK220bI,Física 1 - Hidrostática,"Apr 10, 2020",,,,10,0
an0Exm1xf8I,Física 2 - Fluxo de calor,"Apr 21, 2020",,,,10,0
dTrF5RdYp6Q,Física 2 - MHS,"Mar 24, 2020",,,,18,0
eoH47z9B37Y,Física 2 - Termometria  - Conversão Fahrenheit para Celsius,"Apr 15, 2020",,,,11,0
iP3j5IzuK1k,enem 2012,"May 27, 2020",,,,11,0
krJbK5Jttx4,Física 1 - Colisões,"Jun 9, 2020",,,,10,0
om1vIVDJBXg,enem 2018 2,"May 27, 2020",,,,10,0
pxJ9ocF6CsI,Física 2 - Probabilidade em escalas térmicas,"Apr 15, 2020",,,,9,0
qCmi8zAJUVE,Física 1 - Conservação de Energia,"Apr 9, 2020",,,,6,0
tNVdKLhysdw,Física 1  - Conservação de energia,"Apr 10, 2020",,,,8,0
tP-Is6j9itk,enem 2017 2,"May 28, 2020",,,,13,0
uwYM05FNKNA,Física 1 - Atrito e estática,"May 7, 2020",,,,15,0
vyaV-vN9If8,Física 2 - Fluxo de calor em barras Básico,"Apr 21, 2020",,,,23,0
w2zGv3Hi8E4,Física 2 - MHS,"Mar 24, 2020",,,,6,0
x5YS-pPNBNU,enem 2015 11,"May 28, 2020",,,,11,0
xMoKqsjKy44,Física 3 - Potencia elétrica - Energia,"May 4, 2020",,,,13,0
zKhd2w6rsS4,Física 2 - MHS - Energia no MHS,"Mar 25, 2020",,,,11,0